ID number,Date,Month,Year,Description of event,Type of event,Institutions or actors,UK jurisdiction,Special tag,Subject matter (general),Subject matter (specific),Source,...13,...14,...15
NA,24,July,2019,Boris Johnson MP was appointed as Prime Minister by the Queen following the resignation of Theresa May MP as Prime Minister.,"Appointment, dismissal or resignation",Prime Minister,UK,Brexit; first reshuffle,Civil service and public sector reform,ministerial appointments,https://www.gov.uk/government/people/boris-johnson,NA,NA,NA
NA,24,July,2019,"Dominic Cummings, among those who spearheaded the Vote Leave campaign during the Brexit referendum in 2016, was appointed as chief advisor by the Prime Minister.","Appointment, dismissal or resignation",Prime Minister,UK,Brexit; first reshuffle,Civil service and public sector reform,special advisors,https://news.sky.com/story/controversial-ex-vote-leave-chief-dominic-cummings-to-join-boris-johnsons-team-in-number-10-11769523,NA,NA,NA
NA,24,July,2019,Damian Hinds MP was dismissed as Secretary of State for Education by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister; Department for Education,England,first reshuffle,Civil service and public sector reform,dismissal,https://www.gov.uk/government/people/damian-hinds,NA,NA,NA
NA,24,July,2019,Gavin Williamson MP was appointed as the Secretary of State for Education. This followed his dismissal from the government of Theresa May MP for allegedly leaking confidential information from the National Security Council.,"Appointment, dismissal or resignation",Prime Minister; Department for Education,England,first reshuffle,"Civil service and public sector reform; Ethics, standards and integrity",ministerial appointments; personal conduct,https://www.bbc.co.uk/news/uk-politics-48126974,NA,NA,NA
NA,24,July,2019,Jeremy Hunt MP was dismissed as Foreign Secretary by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister; Foreign Office,UK,first reshuffle,Civil service and public sector reform,dismissal,https://www.gov.uk/government/people/jeremy-hunt,NA,NA,NA
NA,24,July,2019,"Greg Clark MP was dismissed as Secretary of State for Business, Energy and Industrial Strategy by the Prime Minister.","Appointment, dismissal or resignation",Prime Minister; Department for Business,UK,first reshuffle,Civil service and public sector reform,dismissal,https://www.gov.uk/government/people/greg-clark,NA,NA,NA
NA,24,July,2019,"Jeremy Wright MP was dismissed as Secretary of State for Digital, Culture, Media and Sport by the Prime Minister.","Appointment, dismissal or resignation","Prime Minister; Department for Digital, Culture, Media and Sport",UK,first reshuffle,Civil service and public sector reform,dismissal,https://www.gov.uk/government/people/jeremy-wright,NA,NA,NA
NA,24,July,2019,Karen Bradley MP was dismissed as Secretary of State for Northern Ireland by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister; Northern Ireland Office,UK; Northern Ireland,first reshuffle,Civil service and public sector reform; Devolution and the Union,dismissal; Northern Ireland,https://www.gov.uk/government/people/karen-bradley,NA,NA,NA
NA,24,July,2019,"James Brokenshire MP was dismissed as Secretary of State for Housing, Communities and Local Government by the Prime Minister.","Appointment, dismissal or resignation","Prime Minister; Ministry of Housing, Communities and Local Government",UK; England,first reshuffle,Civil service and public sector reform,dismissal,https://www.gov.uk/government/people/james-brokenshire,NA,NA,NA
NA,24,July,2019,Chris Grayling MP was dismissed as Secretary of State for Transport for the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister; Department for Transport,UK; England,first reshuffle,Civil service and public sector reform,dismissal,https://www.gov.uk/government/people/chris-grayling,NA,NA,NA
NA,24,July,2019,David Mundell MP was dismissed as Secretary of State for Scotland by the Prime Minister.,"Appointment, dismissal or resignation",Prime Minister; Scotland Office,UK; Scotland,first reshuffle,Civil service and public sector reform; Devolution and the Union,dismissal,https://www.gov.uk/government/people/david-mundell,NA,NA,NA
NA,24,July,2019,"The Chancellor of the Exchequer, Philip Hammond MP, resigned.","Appointment, dismissal or resignation",Prime Minister; Treasury,UK,first reshuffle,Civil service and public sector reform,resignation,https://www.gov.uk/government/people/philip-hammond,NA,NA,NA
